Trajectories
100
		platform:points1			platform:points2			platform:points3			platform:points4			platform:points5			platform:points6			platform:points7			platform:points8			platform:points9			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
53	0	80.3302	-39.7142	806.3	-337.556	-64.1057	805.818	-337.56	65.4707	824.199	77.4393	90.8517	786.051	73.0323	67.9441	694.324	-341.627	85.3872	735.918	-341.422	-43.5496	714.636	76.4819	-61.6966	716.36	-143.017	10.9787	564.105
54	0	80.3204	-39.7339	806.311	-337.563	-64.0906	805.821	-337.56	65.4839	824.194	77.4404	90.8641	786.052	73.0336	67.9351	694.33	-341.631	85.3771	735.908	-341.432	-43.5132	714.627	76.476	-61.6991	716.363	-143.011	10.9817	564.101
55	0	80.3221	-39.7394	806.311	-337.566	-64.097	805.816	-337.561	65.4737	824.188	77.4399	90.8357	786.063	73.0343	67.9243	694.33	-341.622	85.3931	735.907	-341.431	-43.5294	714.621	76.4769	-61.6925	716.362	-143.011	10.9854	564.101
56	0	80.3219	-39.7373	806.315	-337.563	-64.0981	805.81	-337.563	65.4702	824.189	77.4407	90.8496	786.066	73.0372	67.9179	694.337	-341.616	85.4042	735.908	-341.424	-43.5326	714.618	76.4766	-61.6996	716.366	-143.004	10.9731	564.098
57	0	80.3199	-39.7391	806.322	-337.562	-64.1009	805.811	-337.562	65.4662	824.187	77.4373	90.8435	786.061	73.0388	67.9234	694.334	-341.621	85.4036	735.906	-341.424	-43.5154	714.607	76.4808	-61.695	716.368	-143.006	10.9797	564.093
58	0	80.3246	-39.7255	806.322	-337.556	-64.102	805.809	-337.567	65.4657	824.18	77.4381	90.8576	786.073	73.0376	67.9269	694.335	-341.627	85.3785	735.897	-341.42	-43.5279	714.613	76.481	-61.6955	716.38	-142.999	10.9737	564.099
59	0	80.3248	-39.7075	806.328	-337.561	-64.1076	805.804	-337.568	65.4568	824.174	77.4314	90.8606	786.067	73.0324	67.9395	694.346	-341.63	85.3753	735.889	-341.419	-43.5553	714.606	76.4858	-61.694	716.381	-143.001	10.9651	564.1
60	0	80.3209	-39.6863	806.331	-337.565	-64.1145	805.805	-337.58	65.455	824.171	77.4244	90.8708	786.074	73.0293	67.9501	694.348	-341.634	85.3535	735.885	-341.418	-43.5662	714.608	76.5004	-61.6573	716.387	-142.996	10.9658	564.098
61	0	80.3315	-39.6711	806.339	-337.553	-64.1426	805.803	-337.587	65.4346	824.164	77.4171	90.8977	786.075	73.021	67.9777	694.352	-341.644	85.3374	735.884	-341.407	-43.5816	714.61	76.5073	-61.644	716.399	-142.997	10.9554	564.098
62	0	80.3331	-39.645	806.341	-337.544	-64.1563	805.809	-337.584	65.4108	824.164	77.4082	90.923	786.066	73.0227	67.9874	694.345	-341.649	85.3244	735.883	-341.41	-43.6199	714.621	76.5109	-61.6318	716.404	-142.99	10.9591	564.099
